"book","day","english","korean","sentence1","translation1","sentence2","translation2","sentence3","translation3","sentence4","translation4"
"1","19","resist ","v. 저항[대항]하다 ","They resisted the enemy's repeated attacks for more than a month./resisted*_______________ed","그들은 한 달 이상 동안을 적의 반복되는 공격에 대항했다.","","","","","",""
"1","19","fort ","n. 요새, 보루 ","For three days and nights, the fort was under continuous attack./fort*_______________","그 요새는 사흘 밤낮 동안 끊임없이 공격을 받았다.","","","","","",""
"1","19","defy ","v. 반항[도전]하다 ","He would sometimes defy teachers by ignoring what they asked him to do./defy*_______________","그는 때때로 시킨 일을 무시함으로써 선생님들에게 반항을 하곤 했다.","","","","","",""
"1","19","rebel ","v. 반란을 일으키다; 저항[반항]하다 n. 반란[모반]자; 반항[저항]자","At this stage in life it seems that most teenagers rebel against their parents./rebel*_______________","인생의 이 단계에서 대부분의 십대들이 부모에게 반항을 하는 것처럼 보인다.","","","","","",""
"1","19","riot ","n. 폭동 v. 폭동을 일으키다","The March Revolution began when food shortages led to riots and strikes./riots*_______________s","3월혁명은 식량 부족이 폭동과 파업으로 이어졌을 때 시작되었다.","","","","","",""
"1","19","revenge ","v. 복수[앙갚음]하다 ","He swore to take revenge on the people who had killed his father./revenge*_______________","그는 자신의 아버지를 죽인 사람들에게 복수를 하겠다고 맹세했다.","","","","","",""
"1","19","flee ","v. 도망치다, 도피[피난]하다 ","By the time the police arrived at the scene, the robbers had already fled./fled*_______________","경찰이 현장에 도착했을 때는 강도들이 이미 도주한 뒤였다.","","","","","",""
"1","19","evade ","v. 교묘히 피하다, 회피하다 ","He is trying to evade his responsibilities by blaming others./evade*_______________","그는 다른 사람들을 비난함으로써 자신의 책임을 회피하려고 한다.","","","","","",""
"1","19","inevitable ","a. 피할 수 없는, 필연적인 ","She was late so often that it was inevitable that she would lose her job eventually./inevitable*_______________","그녀는 너무 자주 지각을 해서 결국 직업을 잃게 될 것이라는 것은 피할 수 없는 일이었다.","","","","","",""
"1","19","shelter ","① n. 피신[대피](처), 보호소 v. 피난하다, 피난처를 제공하다 ② n. 주거, 집 ","We found shelter from the rain under a small bridge./shelter*_______________","우리는 작은 다리 아래에서 비를 피할 곳을 찾았다.","","","","","",""
"1","19","cherish ","① v. 소중히 여기다, 아끼다 ② v. 마음속에 간직하다 ","His most cherished possession is his beautiful house./cherished*_______________ed","그가 가장 아끼는 물건은 그의 아름다운 집이다.","","","","","",""
"1","19","sustain ","① v. (무게를) 견디다, 지탱하다 ② v. 유지[지속]시키다 ③ v. (피해·손해·부상을) 입다, 당하다 ","To sustain its weight, an elephant's legs are as strong as tree trunks./sustain*_______________","자신의 무게를 지탱하기 위해서 코끼리의 다리는 나무줄기만큼 튼튼하다.","His faith in God sustained him through the darkest period of his life./sustained*_______________ed","하나님에 대한 믿음이 그의 인생의 가장 어두웠던 시절을 거치는 동안 그를 지탱해 주었다.","","","",""
"1","19","preserve ","v. 보존[보호]하다 ","We must preserve our natural environment for future generations./preserve*_______________","우리는 미래의 세대를 위해 우리의 자연환경을 보존해야 한다.","","","","","",""
"1","19","conserve ","v. 보존[보호]하다; 아끼다, 절약하다 ","Recently systematic efforts have been made to conserve the forests./conserve*_______________","최근에 그 숲을 보존하려는 조직적인 노력이 있어왔다.","We must learn to conserve energy and use it more wisely./conserve*_______________","우리는 에너지 절약을 배워 그것을 보다 현명하게 사용해야 한다.","","","",""
"1","19","maintain ","① v. 유지[보존]하다; 보수[정비]하다 ② v. (일관되게 강력히) 주장하다","Regular exercise is necessary for maintaining a healthy body./maintaining*_______________ing","규칙적인 운동은 건강한 몸의 유지에 필요하다.","The machines should be checked and maintained on a regular basis./maintained*_______________ed","그 기계들은 정기적으로 점검과 정비를 받아야 한다.","","","",""
"1","19","abandon ","① v. 버리다, 유기하다; 버리고 떠나다 ② v. 포기[단념]하다; 버리다 ","She married a rich man for his money and abandoned her own children./abandoned*_______________ed","그녀는 한 부자 남자와 그의 돈을 보고 결혼했고 자신의 자식들을 버렸다.","The captain ordered his men to abandon the sinking ship./abandon*_______________","선장은 그의 사람들에게 가라앉고 있는 배를 버리라고 명령했다.","","","",""
"1","19","desert ","① v. 버리다, 유기[방치]하다 ② n. 사막","The husband deserted his wife and children, and went abroad./deserted*_______________ed","그 남편은 아내와 아이들을 버리고 외국으로 갔다.","","","","","",""
"1","19","reconcile ","v. 화해시키다, 조화시키다 ","He wanted to be reconciled with his wife, but she refused./reconciled*_______________d","그는 아내와 화해하기를 원했으나 그녀는 거절했다.","It is never an easy task to reconcile conflicting interests among groups./reconcile*_______________","집단간의 상충하는 이해관계를 조화시키는 것은 절대 쉬운 일이 아니다.","","","",""
"1","19","intervene ","① v. 개입[중재]하다 ② v. (도중에) 끼어들다","The police had to intervene to prevent further disorder./intervene*_______________","경찰이 더 이상의 무질서를 막기 위해 개입해야 했다.","","","","","",""
"1","19","mediate ","v. (당사자들 사이에서) 중재[조정]하다 ","The United Nations is currently trying to mediate between the two sides./mediate*_______________","유엔은 현재 양측 간에 중재를 하려고 하고 있다.","","","","","",""
"1","19","troop ","n. (-s) 군대, 병력 ","UN troops were sent to the region to keep the peace./troops*_______________s","유엔군이 치안을 유지하기 위해 그 지역으로 파병되었다.","","","","","",""
"1","19","admiral ","n. 해군 대장, 제독 ","Admiral Nelson won one of the greatest sea battles of all time at Trafalgar./Admiral*_______________","넬슨 제독은 트라팔가에서 역대 가장 위대한 해전 중의 하나에서 승리했다.","","","","","",""
"1","19","capture ","① v. 생포[포획]하다; (어떤 대상을) 차지하다; 포착하다, 담아내다 n. 생포, 포획, 함락; 포착 ② v. (남의 마음 등을) 사로잡다 ","Seven enemy soldiers were captured after the battle./captured*_______________d","전투 후에 7명의 적군이 포로로 잡혔다.","The incident was captured on a mobile phone camera./captured*_______________d","그 사건은 한 핸드폰 카메라에 포착되었다.","","","",""
"1","19","ally ","n. 동맹국[자] v. 동맹하다","Saudi Arabia is one of US allies in the Middle East./allies*_______________es","사우디아라비아는 중동의 미국 동맹국 중의 하나이다.","","","","","",""
"1","19","explode ","v. (화약·폭탄이) 터지다, 터뜨리다, 폭발하다[시키다]","A time bomb exploded at the embassy, injuring five people./exploded*_______________d","대사관에서 시한폭탄이 터져 다섯 명이 부상을 입었다.","","","","","",""
"1","20","broadcast ","v. 방송하다 n. 방송 ","The new show will be broadcast live every Sunday evening./broadcast*_______________","새로운 쇼는 매주 일요일 저녁 생방송으로 방송될 예정이다.","","","","","",""
"1","20","article ","① n. (신문·잡지) 기사 ② n. (하나의) 물품[물건] ③ n. (법률·계약서) 조항","This newspaper article explains why it has happened./article*_______________","다음의 신문 기사는 왜 그 일이 일어났는지를 설명하고 있다.","","","","","",""
"1","20","bulletin ","n. 뉴스 단신[속보]; 고시, 공고 ","The announcement was repeated on the hourly news bulletin./bulletin*_______________","그 발표는 매시간 뉴스 속보에서 반복되었다.","Test scores will be posted on the bulletin board./bulletin*_______________","시험 점수는 게시판에 게시될 것이다.","","","",""
"1","20","editorial ","① n. (신문) 사설 a. 사설의 ② a. 편집(상)의 ","Did you happen to read the editorial in today's New York Times?/editorial*_______________","혹시 오늘자 뉴욕타임즈의 사설을 읽어보셨습니까?","","","","","",""
"1","20","journalist ","n. 저널리스트, 기자, 기고가","He refused to say anything in reply to the journalists’ questions./journalists*_______________s","그는 기자들의 질문에 대한 답변으로 어떤 말도 하기를 거부했다.","","","","","",""
"1","20","correspondent ","n. 특파원, 통신원","He spoke about his experiences as a war correspondent./correspondent*_______________","그는 종군 기자로서의 자신의 경험에 대해 이야기했다.","","","","","",""
"1","20","subscribe ","v. 예약 구독하다 ","He reads three newspapers every day and subscribes to several news magazines./subscribes*_______________s","그는 매일 3개의 신문을 읽고 여러 개의 뉴스 잡지를 구독하고 있다.","","","","","",""
"1","20","perform ","① v. 공연[연기, 연주]하다 ② v. 수행[이행]하다 ","He didn’t perform well at the concert because of his nervousness./perform*_______________","그는 콘서트에서 긴장을 해서 공연을 잘 하지 못했다.","","","","","",""
"1","20","rehearse","v. 예행연습[리허설]하다 ","Can we rehearse once before the show starts?/rehearse*_______________","쇼가 시작되기 전에 예행연습을 한 번 할 수 있을까요?","","","","","",""
"1","20","scene ","① n. (연극·영화의) 장면; (연극·오페라의) 장 ② n. 광경 ③ n. (범죄·사건·사고의) 현장 ","The play opens with a scene of a courtroom./scene*_______________","그 연극은 한 법정에서의 장면으로 시작된다.","In Act III, scene 2 of Romeo and Juliet, Juliet is waiting for Romeo./scene*_______________","로미오와 줄리엣 3막 2장에서 줄리엣은 로미오를 기다린다.","","","",""
"1","20","script ","n. 대본, 각본; 손으로 쓴 글씨(체) ","The actor has memorized every line in the script./script*_______________","그 배우는 대본의 모든 대사를 외웠다.","","","","","",""
"1","20","audience ","n. 청중, 관객; (라디오 · TV의) 청취[시청]자 ","The audience cheered loudly when he was introduced./audience*_______________","그가 소개되었을 때 청중들은 크게 환호했다.","","","","","",""
"1","20","auditorium ","n. 청중[관객]석; 강당, 회관 ","The audience filled the auditorium to capacity./auditorium*_______________","관객이 객석을 꽉 채웠다.","The graduation ceremony was held in the school's auditorium./auditorium*_______________","졸업식이 학교 강당에서 거행되었다.","","","",""
"1","20","preview ","n. 시사회; 시사평 v. 시사[시연]를 보다[보이다]","A press preview of the exhibition is scheduled for next Monday./preview*_______________","전시회에 대한 언론 시사회가 다음 주 월요일에 예정되어 있다.","","","","","",""
"1","20","occasion ","① n. 특별한 일, 중요한 행사 ② n. 때, 경우","I only wear a suit on special occasions such as weddings or funerals./occasions*_______________s","나는 결혼식이나 장례식과 같은 특별한 행사 때에만 양복을 입는다.","","","","","",""
"1","20","ceremony ","n. 의식, 식전","The two-hour formal opening ceremony was attended by some 200 guests./ceremony*_______________","2시간의 공식 개회식에는 200명 정도의 손님들이 참석했다.","","","","","",""
"1","20","procession ","n. 행렬, 행진 ","The long funeral procession passed slowly along the street./procession*_______________","긴 장례 행렬이 거리를 따라 천천히 지나갔다.","","","","","",""
"1","20","exhibition ","n. 전시(회) ","The exhibition gave local artists an opportunity to display their work./exhibition*_______________","그 전시회는 지역 미술가들에게 그들의 작품을 전시할 기회를 주었다.","","","","","",""
"1","20","anniversary ","n. 기념일 ","Jason and Debby celebrated their tenth wedding anniversary with a trip to Hawaii./anniversary*_______________","잭과 데비는 10주년 결혼 기념일을 하와이 여행으로 축하했다.","","","","","",""
"1","20","celebrate ","v. 축하[기념]하다 ","His family went out to celebrate his twenty-first birthday./celebrate*_______________","그의 가족은 그의 21번째 생일을 축하하기 위해 외출을 했다.","","","","","",""
"1","20","recreation ","n. 레크리에이션, 오락 ","His favorite recreations are horseback riding, tennis and swimming./recreations*_______________s","그가 가장 좋아하는 오락은 승마와 테니스, 수영이다.","","","","","",""
"1","20","pastime ","n. 오락, 기분전환","Watching sports is a national pastime in the United States./pastime*_______________","미국에서는 스포츠를 보는 것이 국가적인 오락이다.","","","","","",""
"1","20","stake ","n. 내기에 건 돈[물건] v. (돈·생명 등을) 걸다; n. 이해관계; (회사의) 지분 ","He began to bet on the horses and to play cards for high stakes./stakes*_______________s","그는 승마에 돈을 걸고 큰 판돈을 걸고 카드를 하기 시작했다.","People do not feel that they have a stake in the outcome of the election./stake*_______________","사람들은 선거의 결과에 자신들이 이해관계가 있다는 것을 느끼지 못한다.","","","",""
"1","20","athlete ","n. 운동선수, 육상선수 ","Every athlete dreams of winning a gold medal at the Olympics./athlete*_______________","모든 운동선수는 올림픽에서 금메달을 따기를 꿈꾼다.","","","","","",""
"1","20","compete ","v. (목적을 두고 서로) 경쟁하다, 겨루다","The two brothers constantly competed for their mother's attention./competed*_______________d","두 형제는 엄마의 관심을 서로 받으려고 끊임없이 경쟁을 벌였다.","","","","","",""
"1","20","contend ","① v. (획득하려고) 겨루다, 경쟁하다; (문제·어려움과) 씨름하다, 싸우다 ② v. (강력히) 주장하다","Three political parties are contending for power./contending*_______________ing","세 개의 정당이 권력을 서로 차지하려고 다투고 있다.","Our society has enormous problems to contend with./contend*_______________","우리 사회는 맞서 싸워야 할 엄청난 문제를 가지고 있다.","","","",""
"1","20","contest ","n. 경연 (대회), 콘테스트 v. 경쟁을 벌이다, 겨루다","She won first prize in a beauty contest at the age of 18./contest*_______________","그녀는 18살 때 한 미인 선발 대회에서 일등상을 받았다.","","","","","",""
"1","20","versus ","prop. ~대(對), ~에 대한 ","Tonight's game is Manchester United versus Real Madrid./versus*_______________","오늘밤의 경기는 맨체스터 유나이티드 대 레알 마드리드이다.","","","","","",""
"1","20","opponent ","① n. (시합·논쟁에서의) 상대, 적수 ② n. 반대[대항]자","He knocked down his opponent with a single blow./opponent*_______________","그는 단 한 방에 상대를 때려눕혔다.","","","","","",""
"1","20","spectator ","n. 관객, 구경꾼 ","The spectators cheered when their team scored the winning goal./spectators*_______________s","관객들은 자신들의 팀이 결승골을 득점하자 환호했다.","","","","","",""
"1","20","journey ","n. (장거리의 육상) 여행 v. 여행하다","I was tired after the long journey, and I fell asleep at once./journey*_______________","나는 긴 여행 후에 피곤해서 곧 잠이 들었다.","","","","","",""
"1","20","trip ","① n. (짧은) 여행 ② v. (발이) 걸려 넘어지다[질 뻔하다], 걸어 넘어지게[질 뻔 하게] 하다","He is on a business trip to Parisandwon'tbebackuntilnextweek./trip*_______________","그는 파리에 출장 중이라서 다음 주까지는 돌아오지 않는다.","","","","","",""
"1","20","voyage ","n. 항해, 우주 여행 v. 항해[항행]하다 ","They completed the final preparations for their long voyage across the Atlantic./voyage*_______________","그들은 대서양을 건너는 긴 항해를 위한 마지막 준비를 끝냈다.","","","","","",""
"1","20","commute ","v. 통근하다 ","He commutes daily by train from his home in New Jersey to New York City./commutes*_______________s","그는 뉴저지에 있는 그의 집에서 뉴욕시로 매일 기차로 통근한다.","","","","","",""
"1","20","round-trip","n. 왕복 여행 a. 왕복 여행의","A round-trip ticket from New York to Los Angeles costs about $1,800./round-trip*_______________","뉴욕에서 로스앤젤레스까지의 왕복 티켓은 가격이 약 1,800달러이다.","","","","","",""
"1","20","destination ","n. 목적지, 행선지 ","After two weeks of travel, they finally reached their destination./destination*_______________","2주간의 여행 끝에 그들은 마침내 목적지에 도착했다.","","","","","",""
"1","20","explore ","v. 탐험[탐사, 답사]하다 ","The spacecraft will explore the atmosphere and surface of Mars./explore*_______________","그 우주선은 화성의 대기와 표면을 탐사할 것이다.","","","","","",""
"1","20","expedition ","n. 원정, 탐험, 원정[탐험]대 ","They went on an expedition to the South Pole./expedition*_______________","그들은 남극으로 탐험을 떠났다.","","","","","",""
"1","20","sightseeing ","n. 관광 ","I’d like to have some information about where to go sightseeing./sightseeing*_______________","어느 곳을 관광해야 할지에 대한 정보를 얻고 싶습니다.","","","","","",""
"1","20","excursion ","n. 소풍","Last week our class went on an excursion to the woods./excursion*_______________","지난 주 우리 학급은 숲으로 소풍을 갔다.","","","","","",""
"1","20","souvenir ","n. 기념품 ","He bought a model of the Eiffel Tower as a souvenir of his trip to Paris./souvenir*_______________","그는 파리 여행 기념으로 에펠 탑 모형을 샀다.","","","","","",""
"1","20","itinerary ","n. 여행 일정표 ","The first place on our itinerary was Rome./itinerary*_______________","우리 여행 일정표의 첫 번째 장소는 로마이었다.","","","","","",""
"1","20","inn ","n. 여인숙, 여관 ","That night we stayed at an inn outside a small town./inn*_______________","그날 밤 우리는 작은 도시 바깥에 있는 한 여관에서 머물렀다.","","","","","",""
"1","20","accommodate ","v. (머물거나 살) 공간[장소]을 제공하다, 수용하다 v. (특정 수량을) 수용할 수 있다 v. (남의 의견·요구를) 수용하다, 받아들이다 ","The flood victims were accommodated in tents erected at schools./accommodated*_______________d","수재민들은 학교에 세워진 텐트에 수용되었다.","The hotel can accommodate more than three hundred guests./accommodate*_______________","그 호텔은 300명 이상의 투숙객을 수용할 수 있다.","We will make every effort to accommodate your request./accommodate*_______________","우리는 당신의 요구를 수용할 수 있도록 모든 노력을 다 하겠습니다.","",""
"1","20","reserve ","① v. (좌석·방·표를) 예약하다 ② v. 남겨[떼어]두다 n. 비축[예비]품[금]","You can reserve the tickets either by phone or online./reserve*_______________","티켓은 전화나 온라인 어느 것으로도 예매할 수 있습니다.","","","","","",""
"1","20","vacancy ","n. 빈 방; 결원, 공석 ","Sorry, we have no vacancies right now./vacancies*_______________es","죄송합니다만, 지금은 빈 방이 없습니다.","The following list provides information about job vacancies./vacancies*_______________es","다음 목록은 빈 일자리에 대한 정보를 제공한다.","","","",""
"1","21","fiction ","n. 꾸며낸 이야기, 픽션, 소설","It's sometimes hard to separate fact from fiction in what he says./fiction*_______________","가끔씩 그가 하는 말에서 사실과 꾸며낸 이야기를 구분하는 것이 어렵다.","","","","","",""
"1","21","prose ","n. 산문 ","He wrote a variety of pieces, both in prose and verse./prose*_______________","그는 산문과 운문 둘 다에서 다양한 작품을 썼다.","","","","","",""
"1","21","verse ","n. 운문 ","Most of his plays were comedies written in verse./verse*_______________","그의 희곡의 대부분은 운문으로 쓰인 희극이었다.","","","","","",""
"1","21","author ","n. 저자, 필자, 작가 ","He is the author of more than 100 books for children./author*_______________","그는 100권 이상의 어린이를 위한 책을 쓴 저자이다.","","","","","",""
"1","21","anecdote ","n. (실제의) 일화, 기담","He told us some very amusing anecdotes about his life in China./anecdotes*_______________s","그는 우리에게 그의 중국 생활에 관련된 몇 가지 매우 재미있는 일화들을 이야기해 주었다.","","","","","",""
"1","21","fable ","n. 우화 ","Aesop's Fables give simple but important moral lessons./Fables*_______________s","이솝 우화는 단순하지만 중요한 교훈을 준다.","","","","","",""
"1","21","legend ","n. 전설 ","According to legend, Rome was founded by twin brothers./legend*_______________","전설에 따르면 로마는 쌍둥이 형제에 의해 창건되었다.","","","","","",""
"1","21","myth ","n. 신화; 근거 없는 사회통념 ","In the ancient Greek myths, Aphrodite was the goddess of love and beauty./myths*_______________s","고대 그리스 신화에서 아프로디테는 사랑과 미의 여신이었다.","","","","","",""
"1","21","biography ","n. 전기 ","The biography of Steve Jobs has become Amazon's best selling book of 2011./biography*_______________","스티브 잡스의 전기는 2011년 아마존의 베스트셀러가 되었다.","","","","","",""
"1","21","plot ","① n. 줄거리 v. 줄거리를 세우다 ② n. 계략, 음모 v. 음모하다","The movie has a very simple plot that describes an average day in Russia./plot*_______________","그 영화는 러시아의 평균적인 하루를 묘사하는 아주 단순한 줄거리를 갖고 있다.","","","","","",""
"1","21","manuscript ","n. 원고; 손으로 쓴 것, 필사본","She sent the completed manuscript to most of the major publishers./manuscript*_______________","그녀는 대부분의 주요 출판사에 완성된 원고를 보냈다.","This manuscript is thought to have been written about the middle of the fifth century./manuscript*_______________","이 필사본은 5세기 중엽 정도에 쓰인 것으로 생각된다.","","","",""
"1","21","draft ","n. 초고, 밑그림, 초안 v. 기초[기안]하다, 밑그림을 그리다 ","This is only a rough draft of my full report on this subject./draft*_______________","이것은 이 주제에 대한 상세한 보고서의 대략적인 초안일 뿐이다.","","","","","",""
"1","21","compile ","v. (책·목록·표로) 엮다, 편집하다","After 10 years of collecting recipes, he has compiled them into a cookbook./compiled*_______________d","그는 10년 동안 요리법을 모아 요리책으로 엮었다.","","","","","",""
"1","21","copyright ","n. 저작권, 판권 a. 저작권 보호를 받는 v. 저작권을 얻다 ","The entire contents of this magazine are protected by copyright./copyright*_______________","이 잡지의 전체 내용은 저작권의 보호를 받는다.","","","","","",""
"1","21","contribute ","① v. (글·기사를) 기고하다 ② v. (돈·물품·지식을) 기부[기여]하다 ③ v. (~의) 한 원인이 되다 ","He contributes to several newspapers and magazines./contributes*_______________s","그는 여러 신문과 잡지에 기고를 한다.","","","","","",""
"1","21","portrait ","n. 초상화 ","On the wall was a portrait of his grandfather./portrait*_______________","벽에는 그의 할아버지 초상화가 걸려 있었다.","","","","","",""
"1","21","landscape ","① n. 풍경화 ② n. 풍경, 전망 ","He likes painting landscapes more than portraits./landscapes*_______________s","그는 초상화보다 풍경화를 그리기를 더 좋아한다.","","","","","",""
"1","21","sculpture ","n. 조각(술), 조각품 ","The museum has a collection of paintings and sculptures by Matisse./sculptures*_______________s","그 박물관은 마티스의 그림과 조각품을 소장하고 있다.","","","","","",""
"1","21","statue ","n. 상, 조각상 ","The Statue of Liberty is one of the tallest statues in the world./statues*_______________s","자유의 여신상은 세계에서 가장 높은 조각상 중의 하나이다.","","","","","",""
"1","21","monument ","n. 기념비[상, 관] ","This monument is in memory of those who were killed in World War II./monument*_______________","이 기념비는 제2차 세계대전에서 죽은 사람들을 추모하기 위한 것이다.","","","","","",""
"1","21","carve ","① v. (상을) 조각하다, (글씨·문양을) 새기다 ② v. (고기를) 엷게 자르다[썰다]","The huge statue was carved out of a single rock and weighs 175 tons./carved*_______________d","그 거대한 조상은 단 하나의 바위를 조각해서 만들어졌고 무게가 175톤이 나간다.","","","","","",""
"1","21","compose ","① v. 짓다, 작곡하다, 작문하다 ② v. 구성하다; (be -d of) 구성되다 ","Ludwig Beethoven composed his greatest symphonies after becoming totally deaf./composed*_______________d","루드비히 베토벤은 완전히 귀가 먹은 이후에 그의 위대한 교향곡들을 작곡했다.","","","","","",""
"1","21","choir ","n. 합창단, 성가대 ","She sings in the church choir and plays the flute in the school orchestra./choir*_______________","그녀는 교회 성가대에서 노래를 하고 학교 관현악단에서는 플루트를 연주한다.","","","","","",""
"1","21","conduct ","① v. (오케스트라·합창단을) 지휘하다 ② n. 행위, 행실, 품행 v. 행동(처신)하다 ③ v. 수행[처리]하다 n. 수행, 처리","The London Symphony Orchestra was conducted by William Smith./conducted*_______________ed","윌리암 스미스가 런던 심포니 오케스트라를 지휘했다.","","","","","",""
"1","21","tune ","① n. 멜로디, 가락, 선율 v. (악기의 음을) 조율하다 ② v. 방송국에 맞추다, 동조시키다 ","She had great difficulty singing in tune./tune*_______________","그는 멜로디에 맞추어 노래를 부르는데 큰 어려움을 갖고 있다.","","","","","",""
"1","21","pitch ","① n. 음높이; (감정·활동의) 정도[강도]; 최고점 ② v. (목표 지점을 향해) (내)던지다 n. 던지기 ","A sense of pitch is very important in both music and speech./pitch*_______________","음 높이에 대한 감각은 음악과 연설 둘 다에서 매우 중요하다.","","","","","",""
"1","21","lyric ","n. (-s) 가사, 노랫말 ","He composes all of his songs and writes the lyrics for most of them./lyrics*_______________s","그는 그의 모든 노래들을 작곡하고 그것들의 대부분의 가사를 쓴다.","","","","","",""
"1","21","instrument ","① n. 악기 ② n. (정밀한 작은) 기구, 도구 ","Do you play any musical instrument?/instrument*_______________","어떤 악기를 연주할 줄 아십니까?","","","","","",""
"1","21","religion ","n. 종교 ","Religion gives answers to the fundamental questions of life./Religion*_______________","종교는 삶의 근본적인 문제에 대해 답을 준다.","","","","","",""
"1","21","holy ","a. (무엇이) 신성한, 성스러운; (사람이) 경건한, 독실한","Jerusalem is the holy city for both Christians and Muslims./holy*_______________","예루살렘은 기독교인과 이슬람교도 둘 다에게 성스러운 도시이다.","He lived a holy life before God and was a good person./holy*_______________","그는 하나님 앞에 경건한 삶을 살았고 좋은 사람이었다.","","","",""
"1","21","divine ","a. 신의[에 의한]","He firmly believes that divine providence rules the universe./divine*_______________","그는 신의 섭리가 우주를 다스린다고 굳게 믿는다.","","","","","",""
"1","21","sacred ","a. 신성시 되는, 신성한, 성스러운 ","In India people do not eat beef because they believe cows are sacred./sacred*_______________","인도에서는 소가 신성하다고 믿기 때문에 사람들은 소고기를 먹지 않는다.","","","","","",""
"1","21","grace ","① n. (신의) 은총, 은혜 ② n. 우아[고상]함","It was only by the grace of God that no one was seriously injured./grace*_______________","아무도 심하게 부상을 입지 않은 것은 오로지 하느님의 은총 덕분이었다.","","","","","",""
"1","21","faith ","① n. 신앙(심) ② n. 신뢰, 신념 ","His faith in God was the source and secret of his strength./faith*_______________","그의 하나님에 대한 신앙심은 그의 힘의 원천이고 비밀이었다.","","","","","",""
"1","21","bless ","v. 은총을 베풀다, 축복하다; 신의 은혜[가호]를 빌다, 축복하다 ","May God bless you and your family everyday./bless*_______________","당신과 당신 가족에게 매일 신의 축복이 있기를 기원합니다.","","","","","",""
"1","21","pilgrim ","n. 성지 순례자 ","Every year, millions of pilgrims from around the world visit Mecca./pilgrims*_______________s","매년 전 세계의 수백만 명의 성지 순례자들이 메카를 방문한다.","","","","","",""
"1","21","worship ","① v. (신에게) 예배[참배]하다 n. 예배(식) ② v. 숭배[예찬]하다 n. 숭배 ","Hindus worship one supreme God through many different names and forms./worship*_______________","힌두교 신자들은 많은 다양한 이름과 형태로 하나의 최고의 신에게 예배한다.","","","","","",""
"1","21","preach ","v. 설교하다 ","During the sermon, the minister preached about the power of the Holy Spirit./preached*_______________ed","설교 동안에 목사는 성령의 힘에 대해 설교를 했다.","","","","","",""
"1","21","sermon ","n. 설교 ","The minister gave a sermon on the importance of love./sermon*_______________","목사는 사랑의 중요성에 대한 설교를 했다.","","","","","",""
"1","21","cathedral ","n. 대성당 ","It was announced that the royal wedding would be in St Paul's Cathedral./Cathedral*_______________","그 왕실 결혼식은 세인트 폴 대성당에서 거행된다고 발표되었다.","","","","","",""
"1","21","monastery ","n. 수도원 ","At the age of twenty, he joined a Buddhist monastery and became a monk./monastery*_______________","20세의 나이에 그는 출가하여 승려가 되었다.","","","","","",""
"1","21","clergy ","n. 성직자들 ","Catholic clergy have played an important role as spiritual leaders./clergy*_______________","가톨릭 성직자들은 영적 지도자로서 중요한 역할을 수행해 왔다.","","","","","",""
"1","21","priest ","n. 성직자, 사제, 목사 ","The Catholic priest gave his blessing to everyone that was present./priest*_______________","그 가톨릭 신부는 참석한 모든 사람들에게 축복을 내려주셨다.","","","","","",""
"1","21","minister ","① n. 성직자, 목사 ② n. 장관, 대신, 각료 ","Her father was a minister, and she grew up singing in the church./minister*_______________","그녀의 아버지는 목사였고 그녀는 교회에서 노래를 부르며 자랐다.","","","","","",""
"1","21","missionary ","n. 선교사 ","In 1804 the church's first missionaries were sent to the west coast of Africa./missionaries*_______________es","1804년 그 교회의 첫 선교사들이 아프리카 서부 해안으로 파견되었다.","","","","","",""
"1","21","monk ","n. 수사, 수도사[승] ","He decided to become a monk and gave up everything./monk*_______________","그는 수도사가 되기로 결심하고 모든 것을 포기했다.","","","","","",""
"1","21","nun ","n. 수녀 ","She became a nun and devoted the rest of her life to caring for the poor and sick./nun*_______________","그녀는 수녀가 되어 남은 인생을 가난하고 병든 사람들을 돌보는 데 바쳤다.","","","","","",""
"1","21","phantom ","n. 유령, 망령 ","When she looks into the mirror, she sees the phantom of her dead mother./phantom*_______________","그녀는 거울을 볼 때 돌아가신 어머니의 혼령을 본다.","She was expecting a baby, but it turned out to be a phantom pregnancy./phantom*_______________","그녀는 출산 예정이었으나 그것은 상상 임신으로 판명되었다.","","","",""
"1","21","haunt ","v. 자주 나타나다, 출몰하다; 늘 따라다니다, 괴롭히다 ","Since that time, the place is said to be haunted by the ghost of the child./haunted*_______________ed","그때 이후로 그 곳은 그 아이의 유령이 자주 나타난다고 한다.","It's been almost ten years and the memory of it still haunts me./haunts*_______________s","거의 십년이 지났으나 그 기억은 아직도 늘 나를 따라다닌다.","","","",""
"1","21","superstition ","n. 미신 ","In Europe there is a superstition that Friday is unlucky./superstition*_______________","유럽에는 금요일이 재수가 없다는 미신이 있다.","","","","","",""
"1","21","fairy ","n. 요정 ","The little girl believed there were fairies in the woods./fairies*_______________es","어린 소녀는 숲 속에 요정이 있다고 믿었다.","","","","","",""
"1","22","commerce ","n. 상업 ","The council took measures to promote local commerce and industry./commerce*_______________","시의회는 지역 상업과 산업을 촉진하기 위한 조치를 취했다.","","","","","",""
"1","22","transaction ","n. 거래, 매매 ","They charge a fixed monthly fee plus a fee for each transaction./transaction*_______________","그들은 고정 월 수수료에 더해서 각각의 거래에 대해 수수료를 부과합니다.","","","","","",""
